SampleID Num_reads Num_R1 Num_R2 Num_Paired Num_MateMapped Num_Singletons Num_MateMappedDiffChr Coverage_depth
2032_46_B	2586766	1291104	1295662	1618806	2270720	76010	631830	4.02296
2032_46_E	2229335	1113691	1115644	1439910	1972440	58720	515212	3.8147
2032_48_A	3437994	1717078	1720916	2224908	3034504	86982	784008	4.76603
2032_48_C	3133880	1564934	1568946	1982882	2739566	84481	731498	4.50221
2032_48_E	2664223	1330384	1333839	1713444	2348026	70750	614162	4.22926
2032_49_A	2432886	1215164	1217722	1553102	2134314	71334	562436	3.96454
2032_49_B	2277417	1136820	1140597	1475086	2018704	59693	527728	3.92612
2032_50_E	3349176	1673028	1676148	2171610	2958450	85794	761688	4.71883
